SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
Jul-18,07-2018,SQ,34,0,0,16,23,21,7,0,0,0,101
Jul-18,07-2018,SVSP,26,0,0,5,3,4,0,0,0,0,38
Jul-18,07-2018,VSP,2,0,0,0,6,5,3,0,0,0,16
Jul-18,07-2018,WSP,13,0,0,5,2,1,0,0,0,0,21
Aug-18,08-2018,ASP,9,0,0,4,1,0,0,1,0,0,15
Aug-18,08-2018,CAC,0,0,0,7,1,0,0,0,0,0,8
Aug-18,08-2018,CAL,32,0,0,6,5,2,2,2,0,0,49
Aug-18,08-2018,CCC,36,0,0,3,4,2,0,1,0,0,46
Aug-18,08-2018,CCI,4,0,0,0,0,3,1,0,0,0,8
Aug-18,08-2018,CCWF,5,0,0,2,1,3,0,0,0,0,11
Aug-18,08-2018,CEN,16,0,0,4,3,3,1,0,0,0,27
Aug-18,08-2018,CHCF,7,0,0,0,2,0,1,0,0,0,10
Aug-18,08-2018,CIM,4,0,0,2,1,1,1,0,0,0,9
Aug-18,08-2018,CIW,1,0,0,1,1,1,0,0,0,0,4
Aug-18,08-2018,CMC,28,0,0,3,1,5,3,0,0,0,40
Aug-18,08-2018,CMF,28,0,0,3,11,1,0,0,0,0,43
Aug-18,08-2018,COR,35,0,0,8,4,2,0,0,0,0,49
Aug-18,08-2018,CRC,1,0,0,3,3,3,0,0,0,0,10
Aug-18,08-2018,CTF,20,0,0,4,1,3,0,0,0,0,28
Aug-18,08-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Aug-18,08-2018,DVI,6,0,1,5,8,6,1,0,0,0,27
Aug-18,08-2018,FOL,25,0,0,6,24,3,13,0,0,0,71
Aug-18,08-2018,HDSP,5,0,0,10,7,7,0,5,0,0,34
Aug-18,08-2018,ISP,18,0,0,4,2,0,0,4,0,0,28
Aug-18,08-2018,KVSP,13,0,0,5,4,7,0,3,0,0,32
Aug-18,08-2018,LAC,63,0,0,7,11,6,5,8,0,0,100
Aug-18,08-2018,MCSP,10,1,0,5,5,7,1,0,0,0,29
Aug-18,08-2018,NKSP,14,0,0,0,2,0,1,0,0,0,17
Aug-18,08-2018,PBSP,2,0,0,1,5,0,0,0,0,0,8
Aug-18,08-2018,PVSP,7,0,0,2,3,1,0,0,0,0,13
Aug-18,08-2018,RJD,2,0,0,2,2,3,0,0,0,0,9
Aug-18,08-2018,SAC,8,0,0,3,6,1,3,0,0,0,21
Aug-18,08-2018,SATF,29,0,0,7,2,1,1,1,0,0,41
Aug-18,08-2018,SCC,34,0,0,2,3,7,7,0,0,0,53
Aug-18,08-2018,SOL,31,0,0,4,6,3,1,1,0,0,46
Aug-18,08-2018,SQ,20,0,0,1,6,2,5,0,0,0,34
Aug-18,08-2018,SVSP,28,0,0,9,4,6,2,0,0,0,49
Aug-18,08-2018,VSP,1,0,0,0,1,1,0,0,0,0,3
Aug-18,08-2018,WSP,7,0,0,0,1,1,0,1,0,0,10
Sep-18,09-2018,ASP,2,0,0,4,0,1,0,0,0,0,7
Sep-18,09-2018,CAC,4,0,0,4,2,2,0,0,0,0,12
Sep-18,09-2018,CAL,29,0,0,11,3,5,0,0,0,0,48
Sep-18,09-2018,CCC,40,1,0,1,4,4,0,0,0,0,50
Sep-18,09-2018,CCI,7,0,0,4,1,2,1,0,0,0,15
Sep-18,09-2018,CCWF,4,0,0,4,1,1,1,0,0,0,11
Sep-18,09-2018,CEN,31,0,0,5,5,3,0,0,0,0,44
Sep-18,09-2018,CHCF,7,0,0,0,1,1,0,0,0,0,9
Sep-18,09-2018,CIM,1,0,0,0,0,3,1,0,0,0,5
Sep-18,09-2018,CIW,1,0,0,2,0,0,1,0,0,0,4
Sep-18,09-2018,CMC,30,0,0,3,14,4,11,0,0,0,62
Sep-18,09-2018,CMF,21,0,0,2,7,8,5,0,0,0,43
Sep-18,09-2018,COR,18,0,0,5,6,2,3,0,0,0,34
Sep-18,09-2018,CRC,5,0,0,1,3,2,1,0,0,0,12
Sep-18,09-2018,CTF,10,0,0,0,0,0,0,0,0,0,10
Sep-18,09-2018,CVSP,0,0,0,0,0,3,0,0,0,0,3
Sep-18,09-2018,DVI,1,0,0,6,5,5,1,0,0,0,18
Sep-18,09-2018,FOL,15,0,0,1,6,2,2,0,0,0,26
Sep-18,09-2018,HDSP,2,0,0,6,2,4,0,1,0,0,15
Sep-18,09-2018,ISP,19,0,0,4,0,1,1,0,0,0,25
Sep-18,09-2018,KVSP,6,0,0,4,4,7,0,0,0,0,21
Sep-18,09-2018,LAC,22,0,0,4,2,11,1,1,0,0,41
Sep-18,09-2018,MCSP,1,0,0,2,2,2,1,0,0,0,8
Sep-18,09-2018,NKSP,16,0,0,4,3,4,2,0,0,0,29
Sep-18,09-2018,PBSP,2,0,1,0,0,0,0,0,0,0,3
Sep-18,09-2018,PVSP,8,0,0,4,2,1,1,2,0,0,18
Sep-18,09-2018,RJD,9,1,0,5,6,6,5,0,0,0,32
Sep-18,09-2018,SAC,46,0,0,4,4,3,1,0,0,0,58
Sep-18,09-2018,SATF,15,0,0,3,0,5,5,2,0,0,30
Sep-18,09-2018,SCC,40,0,0,1,8,7,3,0,0,0,59
Sep-18,09-2018,SOL,36,0,0,4,9,1,2,0,0,0,52
Sep-18,09-2018,SQ,31,0,0,3,1,4,1,0,0,0,40
Sep-18,09-2018,SVSP,21,0,0,15,6,10,1,1,0,0,54
Sep-18,09-2018,VSP,15,0,0,0,3,0,1,0,0,0,19
Sep-18,09-2018,WSP,16,0,0,1,3,1,9,0,0,0,30
Oct-18,10-2018,ASP,7,0,0,1,0,4,2,0,0,0,14
Oct-18,10-2018,CAC,0,0,0,0,2,1,0,0,0,0,3
Oct-18,10-2018,CAL,28,0,0,13,1,2,0,3,0,0,47
Oct-18,10-2018,CCC,56,0,0,2,4,0,4,0,0,0,66
Oct-18,10-2018,CCI,3,0,0,1,0,10,0,0,0,0,14
Oct-18,10-2018,CCWF,0,0,0,1,1,1,0,0,0,0,3
Oct-18,10-2018,CEN,31,0,0,3,12,2,4,0,0,0,52
Oct-18,10-2018,CHCF,8,0,0,0,3,1,2,0,0,0,14
Oct-18,10-2018,CIM,1,0,0,0,1,1,1,0,0,0,4
Oct-18,10-2018,CIW,6,0,0,0,0,4,2,0,0,0,12
Oct-18,10-2018,CMC,36,0,0,0,8,1,13,0,0,0,58
Oct-18,10-2018,CMF,24,1,0,2,6,0,3,0,0,0,36
Oct-18,10-2018,COR,19,0,0,3,2,2,1,0,0,0,27
Oct-18,10-2018,CRC,11,0,0,0,4,0,4,0,0,0,19
Oct-18,10-2018,CTF,23,0,0,2,0,0,0,0,0,0,25
Oct-18,10-2018,CVSP,2,0,0,0,0,0,0,0,0,0,2
Oct-18,10-2018,DVI,6,0,0,0,6,0,4,0,0,0,16
Oct-18,10-2018,FOL,24,0,0,6,3,7,1,0,0,0,41
Oct-18,10-2018,HDSP,5,0,0,2,2,4,0,0,0,0,13
Oct-18,10-2018,ISP,37,0,0,6,1,2,0,2,0,0,48
Oct-18,10-2018,KVSP,23,0,0,4,5,4,0,0,0,0,36
Oct-18,10-2018,LAC,31,0,0,9,12,4,8,0,0,0,64
Oct-18,10-2018,MCSP,13,0,0,6,3,3,1,0,0,0,26
Oct-18,10-2018,NKSP,44,0,0,0,0,1,0,0,0,0,45
Oct-18,10-2018,PBSP,2,0,0,1,0,1,0,0,0,0,4
Oct-18,10-2018,PVSP,7,0,0,1,1,1,2,0,0,0,12
Oct-18,10-2018,RJD,12,1,0,0,4,1,5,0,0,0,23
Oct-18,10-2018,SAC,35,0,0,6,1,1,4,0,0,0,47
Oct-18,10-2018,SATF,21,0,0,3,2,11,3,1,0,0,41
Oct-18,10-2018,SCC,64,1,0,5,10,5,8,0,0,0,93
Oct-18,10-2018,SOL,38,0,0,3,9,5,1,1,0,0,57
Oct-18,10-2018,SQ,43,0,0,4,7,3,5,0,0,0,62
Oct-18,10-2018,SVSP,28,0,0,6,6,8,5,0,0,0,53
Oct-18,10-2018,VSP,4,0,0,0,6,2,1,0,0,0,13
Oct-18,10-2018,WSP,8,0,0,1,0,1,0,0,0,0,10
Nov-18,11-2018,ASP,4,0,0,2,3,1,0,0,0,0,10
Nov-18,11-2018,CAC,3,0,0,2,0,0,0,0,0,0,5
Nov-18,11-2018,CAL,31,0,0,4,4,1,2,0,0,0,42
Nov-18,11-2018,CCC,33,0,0,1,15,1,1,3,0,0,54
Nov-18,11-2018,CCI,2,0,0,0,1,1,0,0,0,0,4
Nov-18,11-2018,CCWF,3,0,0,4,0,2,0,0,0,0,9
Nov-18,11-2018,CEN,30,0,0,9,6,2,4,0,0,0,51
Nov-18,11-2018,CHCF,8,0,0,0,2,1,1,0,0,0,12
Nov-18,11-2018,CIM,5,0,0,2,0,4,0,0,0,0,11
Nov-18,11-2018,CIW,4,0,0,0,0,4,0,0,0,0,8
Nov-18,11-2018,CMC,21,0,0,4,9,3,2,1,0,0,40
Nov-18,11-2018,CMF,33,0,0,1,4,1,2,0,0,0,41
Nov-18,11-2018,COR,46,0,0,3,4,3,4,0,0,0,60
Nov-18,11-2018,CRC,15,0,0,0,8,3,2,0,0,0,28
