SearchDate,MonthYear,Institution,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
Jan-18,01-2018,VSP,0.0,0.0,0.0,94.2,2.83,0.0,0.0,0.0,97.03
Jan-18,01-2018,WSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb-18,02-2018,ASP,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,3.14
Feb-18,02-2018,CAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb-18,02-2018,CAL,0.0,0.0,144.8,9.02,31.3,0.0,0.0,0.0,185.12000000000003
Feb-18,02-2018,CCC,0.0,0.0,0.0,133.3,5.42,0.0,0.0,0.0,138.72
Feb-18,02-2018,CCI,0.0,0.0,11.86,0.0,18.88,0.0,0.0,0.0,30.74
Feb-18,02-2018,CCWF,0.0,0.0,28.4,7.8,0.0,0.0,0.0,0.0,36.199999999999996
Feb-18,02-2018,CEN,0.0,0.0,0.0,94.96,54.5,0.0,0.0,0.0,149.45999999999998
Feb-18,02-2018,CHCF,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,4.71
Feb-18,02-2018,CIM,0.0,0.0,0.0,3.4,1.0,0.0,0.0,0.0,4.4
Feb-18,02-2018,CIW,0.0,0.0,12.67,0.68,52.42,0.0,0.0,0.0,65.77
Feb-18,02-2018,CMC,0.0,0.0,0.0,440.9,1.2,0.0,0.0,0.0,442.09999999999997
Feb-18,02-2018,CMF,0.0,0.0,0.0,0.0,6.431,0.0,0.0,0.0,6.431
Feb-18,02-2018,COR,0.0,0.0,83.04,428.8,80.5,0.0,0.0,0.0,592.34
Feb-18,02-2018,CRC,0.0,0.0,13.1,213.5,29.2,0.0,0.0,0.0,255.79999999999998
Feb-18,02-2018,CTF,0.0,0.0,13.57,0.48,22.15,0.0,0.0,0.0,36.2
Feb-18,02-2018,CVSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb-18,02-2018,DVI,0.0,0.0,1.6,0.0,74.0,0.0,0.0,0.0,75.6
Feb-18,02-2018,FOL,0.0,0.0,0.7,95.3,4.32,0.0,0.0,0.0,100.32
Feb-18,02-2018,HDSP,0.0,0.0,103.1,110.69999999999999,108.80000000000001,0.0,0.0,0.0,322.6
Feb-18,02-2018,ISP,0.0,0.0,0.1,0.0,14.48,0.0,0.0,0.0,14.58
Feb-18,02-2018,KVSP,0.0,0.0,549.3,154.9,343.1,0.0,0.0,0.0,1047.3
Feb-18,02-2018,LAC,0.0,0.0,75.3,184.82,27.0,0.0,0.0,0.0,287.12
Feb-18,02-2018,MCSP,0.0,0.0,4.2,0.2,33.2,7.8,0.0,0.0,45.4
Feb-18,02-2018,NKSP,0.0,0.0,32.0,110.9,37.7,0.0,0.0,0.0,180.60000000000002
Feb-18,02-2018,PBSP,0.0,0.0,0.20199999999999999,0.0,0.5,0.0,0.0,0.0,0.702
